,total_no,year,huc,total_no_filled
516,0.0,2005,20700110104,282579814.1666667
517,0.0,2008,20700110104,282579814.1666667
518,500448884.0,2010,20700110104,500448884.0
519,451610252.0,2011,20700110104,451610252.0
520,393674152.0,2012,20700110104,393674152.0
521,437398568.0,2013,20700110104,437398568.0
522,413509646.0,2014,20700110104,413509646.0
523,299297076.0,2015,20700110104,299297076.0
524,259540866.0,2016,20700110104,259540866.0
525,236992188.0,2017,20700110104,236992188.0
526,219277136.0,2018,20700110104,219277136.0
527,179209002.0,2019,20700110104,179209002.0
528,0.0,2005,20700080102,92713392.5
529,0.0,2008,20700080102,92713392.5
530,133115390.0,2010,20700080102,133115390.0
531,135037108.0,2011,20700080102,135037108.0
532,134363442.0,2012,20700080102,134363442.0
533,140634744.0,2013,20700080102,140634744.0
534,138301994.0,2014,20700080102,138301994.0
535,133524144.0,2015,20700080102,133524144.0
536,118628558.0,2016,20700080102,118628558.0
537,74219386.0,2017,20700080102,74219386.0
538,56495324.0,2018,20700080102,56495324.0
539,48240620.0,2019,20700080102,48240620.0
540,0.0,2005,20801020303,57485846.666666664
541,0.0,2008,20801020303,57485846.666666664
542,91041724.0,2010,20801020303,91041724.0
543,84634702.0,2011,20801020303,84634702.0
544,74317240.0,2012,20801020303,74317240.0
545,84258792.0,2013,20801020303,84258792.0
546,80999608.0,2014,20801020303,80999608.0
547,77398684.0,2015,20801020303,77398684.0
548,64808708.0,2016,20801020303,64808708.0
549,52986184.0,2017,20801020303,52986184.0
550,45303902.0,2018,20801020303,45303902.0
551,34080616.0,2019,20801020303,34080616.0
552,0.0,2005,20503050107,140211952.33333334
553,0.0,2008,20503050107,140211952.33333334
554,182720306.0,2010,20503050107,182720306.0
555,214089904.0,2011,20503050107,214089904.0
556,200819420.0,2012,20503050107,200819420.0
557,204229854.0,2013,20503050107,204229854.0
558,215578640.0,2014,20503050107,215578640.0
559,202631570.0,2015,20503050107,202631570.0
560,186115462.0,2016,20503050107,186115462.0
561,102607814.0,2017,20503050107,102607814.0
562,98517506.0,2018,20503050107,98517506.0
563,75232952.0,2019,20503050107,75232952.0
564,0.0,2005,20801060702,159850167.16666666
565,0.0,2008,20801060702,159850167.16666666
566,302860294.0,2010,20801060702,302860294.0
567,297162248.0,2011,20801060702,297162248.0
568,215514302.0,2012,20801060702,215514302.0
569,191433628.0,2013,20801060702,191433628.0
570,206430166.0,2014,20801060702,206430166.0
571,161644042.0,2015,20801060702,161644042.0
572,172274162.0,2016,20801060702,172274162.0
573,137582728.0,2017,20801060702,137582728.0
574,134390516.0,2018,20801060702,134390516.0
575,98909920.0,2019,20801060702,98909920.0
576,0.0,2005,20503011001,50108579.666666664
577,0.0,2008,20503011001,50108579.666666664
578,85668952.0,2010,20503011001,85668952.0
579,84903574.0,2011,20503011001,84903574.0
580,58570612.0,2012,20503011001,58570612.0
581,70147914.0,2013,20503011001,70147914.0
582,64665046.0,2014,20503011001,64665046.0
583,68001468.0,2015,20503011001,68001468.0
584,57747154.0,2016,20503011001,57747154.0
585,38764294.0,2017,20503011001,38764294.0
586,40689042.0,2018,20503011001,40689042.0
587,32144900.0,2019,20503011001,32144900.0
588,0.0,2005,20600060401,96047711.33333333
589,0.0,2008,20600060401,96047711.33333333
590,135551110.0,2010,20600060401,135551110.0
591,130828540.0,2011,20600060401,130828540.0
592,117616314.0,2012,20600060401,117616314.0
593,128146494.0,2013,20600060401,128146494.0
594,132504722.0,2014,20600060401,132504722.0
595,123536898.0,2015,20600060401,123536898.0
596,124648550.0,2016,20600060401,124648550.0
597,96855392.0,2017,20600060401,96855392.0
598,85905070.0,2018,20600060401,85905070.0
599,76979446.0,2019,20600060401,76979446.0
600,0.0,2005,20502050607,379014474.6666667
601,0.0,2008,20502050607,379014474.6666667
602,691393578.0,2010,20502050607,691393578.0
603,682325428.0,2011,20502050607,682325428.0
604,563914154.0,2012,20502050607,563914154.0
605,541706232.0,2013,20502050607,541706232.0
606,527182082.0,2014,20502050607,527182082.0
607,410042648.0,2015,20502050607,410042648.0
608,387674956.0,2016,20502050607,387674956.0
609,277672792.0,2017,20502050607,277672792.0
610,260354000.0,2018,20502050607,260354000.0
611,205907826.0,2019,20502050607,205907826.0
612,0.0,2005,20700070304,133502405.0
613,0.0,2008,20700070304,133502405.0
614,241192896.0,2010,20700070304,241192896.0
615,225299028.0,2011,20700070304,225299028.0
616,208661682.0,2012,20700070304,208661682.0
617,172409878.0,2013,20700070304,172409878.0
618,170114466.0,2014,20700070304,170114466.0
619,136541034.0,2015,20700070304,136541034.0
620,138711804.0,2016,20700070304,138711804.0
621,119997718.0,2017,20700070304,119997718.0
622,102644282.0,2018,20700070304,102644282.0
623,86456072.0,2019,20700070304,86456072.0
624,0.0,2005,20503061204,94412012.5
625,0.0,2008,20503061204,94412012.5
626,164142866.0,2010,20503061204,164142866.0
627,154060090.0,2011,20503061204,154060090.0
628,109173344.0,2012,20503061204,109173344.0
629,113713746.0,2013,20503061204,113713746.0
630,117305984.0,2014,20503061204,117305984.0
631,120409906.0,2015,20503061204,120409906.0
632,110195772.0,2016,20503061204,110195772.0
633,86155724.0,2017,20503061204,86155724.0
634,90591876.0,2018,20503061204,90591876.0
